x_mean,y_mean,z_mean,x_sd,y_sd,z_sd,label,activity,position,by
3.1732122266666662,-7.058162493333334,4.49277692,1.2520316593244467,0.7003859095433442,1.1748987092452916,2,walk,front,benz
3.933633906666667,-8.2719004,4.885438006666667,1.880980171896736,1.9702673699380635,1.9922407238268975,2,walk,front,benz
3.1792776799999998,-7.858488819999999,4.147682086666667,1.6137340797310553,0.5818982606627706,0.9768220705653461,2,walk,front,benz
3.1173458199999993,-8.18331202,5.07203176,1.1441921320428592,1.9145581334290735,1.0672301484176194,2,walk,front,benz
2.7811895933333335,-7.187453406666666,4.553272173333332,0.8521844257030009,1.0462325145266071,1.2894753424227154,2,walk,front,benz
3.864519173333334,-8.500313993333332,4.843777573333335,1.0898420803564133,1.7246027069843273,1.249026389099518,2,walk,front,benz
2.936338633333334,-8.15298478,3.5157530866666664,1.063412256539893,0.6701692755012311,1.0875229975478817,2,walk,front,benz
2.886218466666667,-8.9759766,3.7068162733333336,0.841298618510778,2.454536385087555,1.2900899223096862,2,walk,front,benz
1.8887635693333336,-7.945161526666667,4.423023646733332,1.0508847753870219,2.00173832852704,2.900586963152672,2,walk,front,benz
3.6496729,-9.021946673333334,4.323581426666667,1.610557638869277,1.8135099308123754,1.4217114725561912,2,walk,front,benz
2.8517409573333334,-7.804218586666667,3.7245339133333326,1.5110865101538284,0.8089531693459083,1.9176065295127576,2,walk,front,benz
3.1154303666666667,-9.263608660000001,3.893410166666666,1.014063586982885,1.9493163673452196,1.2121498124742576,2,walk,front,benz
1.716375843333333,-7.153933453333334,4.710177066666666,0.8064873346672093,1.2179261385955868,1.6510942563834867,2,walk,front,benz
3.6726578999999995,-8.87270352,4.540343186666667,1.3214269468474267,1.9755028914312402,1.2326402291528944,2,walk,front,benz
3.1285190666666667,-7.792247206666665,4.1197488799999995,1.367084397785061,1.0805105531349817,1.5293984077382679,2,walk,front,benz
2.3605953733333336,-9.130487093333334,4.489424826666666,0.7258097756284883,1.0291581903824458,0.8669709687818575,2,walk,front,benz
2.8151883399999997,-7.653060033333333,3.9045833466666653,1.263920266360419,1.3796386438635329,2.1083596678165644,2,walk,front,benz
3.3720966120000004,-8.8889847,4.640583399999999,1.7826014509321795,2.5386627320188095,0.6630796514407247,2,walk,front,benz
3.0846240233333333,-8.246041946666667,2.984383726666667,1.578761503576617,1.216410924889924,1.131983786481632,2,walk,front,benz
2.09100002,-9.197846233333333,3.42939966,0.42189994039968953,1.4734402425204827,0.689208835689995,2,walk,front,benz
